request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
1,completed_without_short_link,CIC,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Learn,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | Facebook | Learn
2,completed_without_short_link,CIC,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Explore,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | Facebook | Explore
3,completed_without_short_link,CIC,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | Facebook | {null}
4,completed_without_short_link,CIC,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Learn,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | GMB | Learn
5,completed_without_short_link,CIC,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Explore,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | GMB | Explore
6,completed_without_short_link,CIC,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | GMB | {null}
7,completed_without_short_link,CIC,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Learn,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | Instagram | Learn
8,completed_without_short_link,CIC,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Explore,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | Instagram | Explore
9,completed_without_short_link,CIC,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | Instagram | {null}
10,completed_without_short_link,CIC,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Learn,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | LinkedIn | Learn
11,completed_without_short_link,CIC,LinkedIn,social,HomePage,HomePage,LinkedIn,Social,HomePage,LandingPage,Explore,https://www.castleintheclouds.org/,https://www.castleintheclouds.org/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-09-14T00:00:00.000Z,2026-09-14T00:00:00.000Z,CIC starter database | Home | LinkedIn | Explore
