request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
1,completed_without_short_link,GAS,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Read,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Facebook | Read
2,completed_without_short_link,GAS,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Learn,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Facebook | Learn
3,completed_without_short_link,GAS,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Explore,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Facebook | Explore
4,completed_without_short_link,GAS,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Facebook | {null}
5,completed_without_short_link,GAS,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Read,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | GMB | Read
6,completed_without_short_link,GAS,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Learn,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | GMB | Learn
7,completed_without_short_link,GAS,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Explore,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | GMB | Explore
8,completed_without_short_link,GAS,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | GMB | {null}
9,completed_without_short_link,GAS,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Read,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Read,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Instagram | Read
10,completed_without_short_link,GAS,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Learn,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Instagram | Learn
11,completed_without_short_link,GAS,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Explore,https://guardianangelseniorservices.com/,https://guardianangelseniorservices.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-07-31T15:55:49.888Z,2026-07-31T15:55:49.888Z,GAS starter database | Home | Instagram | Explore
