request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
461,completed_without_short_link,SFG,Facebook,social,Houseplants,Houseplants,Facebook,Social,Houseplants,Patio,Shop,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Facebook&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Facebook | Shop
462,completed_without_short_link,SFG,Facebook,social,Houseplants,Houseplants,Facebook,Social,Houseplants,Patio,Learn,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Facebook&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Facebook | Learn
463,completed_without_short_link,SFG,Facebook,social,Houseplants,Houseplants,Facebook,Social,Houseplants,Patio,Explore,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Facebook&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Facebook | Explore
464,completed_without_short_link,SFG,Facebook,social,Houseplants,Houseplants,Facebook,Social,Houseplants,Patio,,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Facebook&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Facebook | {null}
465,completed_without_short_link,SFG,GMB,social,Houseplants,Houseplants,GMB,Social,Houseplants,Patio,Shop,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=GMB&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | GMB | Shop
466,completed_without_short_link,SFG,GMB,social,Houseplants,Houseplants,GMB,Social,Houseplants,Patio,Learn,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=GMB&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | GMB | Learn
467,completed_without_short_link,SFG,GMB,social,Houseplants,Houseplants,GMB,Social,Houseplants,Patio,Explore,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=GMB&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | GMB | Explore
468,completed_without_short_link,SFG,GMB,social,Houseplants,Houseplants,GMB,Social,Houseplants,Patio,,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=GMB&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | GMB | {null}
469,completed_without_short_link,SFG,Instagram,social,Houseplants,Houseplants,Instagram,Social,Houseplants,Patio,Shop,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Instagram&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Instagram | Shop
470,completed_without_short_link,SFG,Instagram,social,Houseplants,Houseplants,Instagram,Social,Houseplants,Patio,Learn,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Instagram&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Instagram | Learn
471,completed_without_short_link,SFG,Instagram,social,Houseplants,Houseplants,Instagram,Social,Houseplants,Patio,Explore,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Instagram&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Instagram | Explore
472,completed_without_short_link,SFG,Instagram,social,Houseplants,Houseplants,Instagram,Social,Houseplants,Patio,,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=Instagram&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | Instagram | {null}
473,completed_without_short_link,SFG,LinkedIn,social,Houseplants,Houseplants,LinkedIn,Social,Houseplants,Patio,Shop,https://studleys.com/product-category/houseplants/patio/,https://studleys.com/product-category/houseplants/patio/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Houseplants&utm_term=Patio&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Patio | LinkedIn | Shop
