request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
1,completed_without_short_link,SFG,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Shop,https://studleys.com/,https://studleys.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Facebook | Shop
2,completed_without_short_link,SFG,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Learn,https://studleys.com/,https://studleys.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Facebook | Learn
3,completed_without_short_link,SFG,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Explore,https://studleys.com/,https://studleys.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Facebook | Explore
4,completed_without_short_link,SFG,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,,https://studleys.com/,https://studleys.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Facebook | {null}
5,completed_without_short_link,SFG,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Shop,https://studleys.com/,https://studleys.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | GMB | Shop
6,completed_without_short_link,SFG,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Learn,https://studleys.com/,https://studleys.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | GMB | Learn
7,completed_without_short_link,SFG,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,Explore,https://studleys.com/,https://studleys.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | GMB | Explore
8,completed_without_short_link,SFG,GMB,social,HomePage,HomePage,GMB,Social,HomePage,LandingPage,,https://studleys.com/,https://studleys.com/?utm_source=GMB&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | GMB | {null}
9,completed_without_short_link,SFG,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Shop,https://studleys.com/,https://studleys.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Instagram | Shop
10,completed_without_short_link,SFG,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Learn,https://studleys.com/,https://studleys.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Instagram | Learn
11,completed_without_short_link,SFG,Instagram,social,HomePage,HomePage,Instagram,Social,HomePage,LandingPage,Explore,https://studleys.com/,https://studleys.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Instagram | Explore
