client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,original_message
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Amherst,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Amherst,,,GAS careers location UTM - Amherst
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Auburn,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Auburn,,,GAS careers location UTM - Auburn
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Gloucester,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Gloucester,,,GAS careers location UTM - Gloucester
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Cambridge,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Cambridge,,,GAS careers location UTM - Greater Boston (Cambridge)
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Leominster,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Leominster,,,GAS careers location UTM - Leominster
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Lynnfield,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Lynnfield,,,GAS careers location UTM - Lynnfield
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Marlborough,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Marlborough,,,GAS careers location UTM - Metrowest (Marlborough)
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,NorthBillerica,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=NorthBillerica,,,GAS careers location UTM - North Billerica
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Plymouth,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Plymouth,,,GAS careers location UTM - Plymouth
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Braintree,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Braintree,,,GAS careers location UTM - South Shore (Braintree)
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Springfield,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Springfield,,,GAS careers location UTM - Springfield
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Billerica,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Billerica,,,GAS careers location UTM - Billerica
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Malden,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Malden,,,GAS careers location UTM - Malden
gas,custom,link,Recruiting,Recruiting,MetaAd,Social,Recruiting,Caregiver,Pittsfield,https://guardianangelseniorservices.com/careers/,https://guardianangelseniorservices.com/careers/?utm_source=MetaAd&utm_medium=Social&utm_campaign=Recruiting&utm_term=Caregiver&utm_content=Pittsfield,,,GAS careers location UTM - Berkshires (Pittsfield)
