"request_id","status","client","channel","asset_type","campaign_label","canonical_campaign","utm_source","utm_medium","utm_campaign","utm_term","utm_content","destination_url","final_long_url","short_url","qr_url","request_count","first_seen_at","last_seen_at","original_message"
"1","completed_without_short_link","GAS","Facebook","social","Website","Website","Facebook","Social","Website","LandingPage","LearnMore","https://guardianangelseniorservices.com/","https://guardianangelseniorservices.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=Website&utm_term=LandingPage&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | Home | Facebook"
"2","completed_without_short_link","GAS","GMB","social","Website","Website","GMB","Social","Website","LandingPage","LearnMore","https://guardianangelseniorservices.com/","https://guardianangelseniorservices.com/?utm_source=GMB&utm_medium=Social&utm_campaign=Website&utm_term=LandingPage&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | Home | GMB"
"3","completed_without_short_link","GAS","Instagram","social","Website","Website","Instagram","Social","Website","LandingPage","LearnMore","https://guardianangelseniorservices.com/","https://guardianangelseniorservices.com/?utm_source=Instagram&utm_medium=Social&utm_campaign=Website&utm_term=LandingPage&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | Home | Instagram"
"4","completed_without_short_link","GAS","LinkedIn","social","Website","Website","LinkedIn","Social","Website","LandingPage","LearnMore","https://guardianangelseniorservices.com/","https://guardianangelseniorservices.com/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Website&utm_term=LandingPage&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | Home | LinkedIn"
"5","completed_without_short_link","GAS","Facebook","social","Website","Website","Facebook","Social","Website","About","LearnMore","https://guardianangelseniorservices.com/about/","https://guardianangelseniorservices.com/about/?utm_source=Facebook&utm_medium=Social&utm_campaign=Website&utm_term=About&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | About | Facebook"
"6","completed_without_short_link","GAS","GMB","social","Website","Website","GMB","Social","Website","About","LearnMore","https://guardianangelseniorservices.com/about/","https://guardianangelseniorservices.com/about/?utm_source=GMB&utm_medium=Social&utm_campaign=Website&utm_term=About&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | About | GMB"
"7","completed_without_short_link","GAS","Instagram","social","Website","Website","Instagram","Social","Website","About","LearnMore","https://guardianangelseniorservices.com/about/","https://guardianangelseniorservices.com/about/?utm_source=Instagram&utm_medium=Social&utm_campaign=Website&utm_term=About&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | About | Instagram"
"8","completed_without_short_link","GAS","LinkedIn","social","Website","Website","LinkedIn","Social","Website","About","LearnMore","https://guardianangelseniorservices.com/about/","https://guardianangelseniorservices.com/about/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Website&utm_term=About&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | About | LinkedIn"
"9","completed_without_short_link","GAS","Facebook","social","Website","Website","Facebook","Social","Website","Team","LearnMore","https://guardianangelseniorservices.com/team/","https://guardianangelseniorservices.com/team/?utm_source=Facebook&utm_medium=Social&utm_campaign=Website&utm_term=Team&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | Team | Facebook"
"10","completed_without_short_link","GAS","GMB","social","Website","Website","GMB","Social","Website","Team","LearnMore","https://guardianangelseniorservices.com/team/","https://guardianangelseniorservices.com/team/?utm_source=GMB&utm_medium=Social&utm_campaign=Website&utm_term=Team&utm_content=LearnMore","","","1","2026-07-17T19:28:11.125Z","2026-07-17T19:28:11.125Z","GAS main navigation | Team | GMB"
