creation_date,client_code,destination_url,source,medium,campaign,term,content,hashtag,bitly,source_file,sheet_name,excel_row,canonical_key
,900_0,https://900degrees.com/outdoor-dining-on-the-deck-at-900-degrees,constant_contact,email,news,,deck,,https://bit.ly/3TOrXMp,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,2,https://900degrees.com/outdoor-dining-on-the-deck-at-900-degrees|constant_contact|email|news||deck|900_0
,900_0,https://900degrees.com/celebrate-the-2025-manchester-nh-fireworks,constant_contact,email,news,,,,https://bit.ly/4nLi0NV,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,3,https://900degrees.com/celebrate-the-2025-manchester-nh-fireworks|constant_contact|email|news|||900_0
,900_0,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws,facebook,social,news,,green,,https://bit.ly/443zQUu,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,4,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws|facebook|social|news||green|900_0
,900_0,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws,gmb,social,news,,green,,https://bit.ly/3GiZpaR,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,5,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws|gmb|social|news||green|900_0
,900_0,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws,x,social,news,,green,,https://bit.ly/445SjzO,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,6,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws|x|social|news||green|900_0
,900_0,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws,linked_in,social,news,,green,,https://bit.ly/4ljv36Y,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,7,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws|linked_in|social|news||green|900_0
,900_0,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws,constant_contact,email,news,,green,,https://bit.ly/3TN4kDW,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,8,https://900degrees.com/900-degrees-green-initiative-agave-straws-sustainable-wines-reusable-straws|constant_contact|email|news||green|900_0
,900_0,https://900degrees.com/together-for-manchester-raising-dough-fundraisers,constant_contact,email,raising_dough,,together_manchester,,https://bit.ly/49bpAfK,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,9,https://900degrees.com/together-for-manchester-raising-dough-fundraisers|constant_contact|email|raising_dough||together_manchester|900_0
,900_0,https://900degrees.com/events/raising-dough,facebook,social,raising_dough,,,,https://bit.ly/40nAKbS,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,10,https://900degrees.com/events/raising-dough|facebook|social|raising_dough|||900_0
,900_0,https://900degrees.com/events/raising-dough,gmb,social,raising_dough,,,,https://bit.ly/3TGj5Zd,260109-JF-UTM-Tracker-DO-NOT-USE.xlsx,900,11,https://900degrees.com/events/raising-dough|gmb|social|raising_dough|||900_0
