field,campaign,count,unique_clients,source,medium,term,content
campaign,about,60,1,,,,
campaign,services,40,1,,,,
campaign,careers,25,1,,,,
campaign,homepage,20,1,,,,
campaign,shop,15,1,,,,
campaign,contact,10,1,,,,
source,,34,1,constantcontact,,,
source,,34,1,facebook,,,
source,,34,1,gmb,,,
source,,34,1,instagram,,,
source,,34,1,linkedin,,,
medium,,136,1,,social,,
medium,,34,1,,email,,
term,,85,1,,,landingpage,
term,,25,1,,,caregiver,
term,,20,1,,,faqs,
term,,20,1,,,locations,
term,,20,1,,,team,
content,,40,1,,,,explore
content,,35,1,,,,learn
content,,35,1,,,,read
content,,5,1,,,,apply
content,,5,1,,,,contact
content,,5,1,,,,shop
